,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,Bhan,26.5583,67.7214,89.02,28,26,11.32,PK,1650839516
92,Nicoya,10.1483,-85.452,82.45,69,51,0.67,CR,1650839516
93,Grajewo,53.6473,22.4554,41.79,92,95,5.44,PL,1650839517
94,Puerto Ayora,-0.7393,-90.3518,75.16,80,51,9.04,EC,1650839517
95,Port Elizabeth,-33.918,25.5701,58.32,69,0,10.36,ZA,1650839287
96,Kavieng,-2.5744,150.7967,83.75,71,100,7.61,PG,1650839517
97,Tautira,-17.7333,-149.15,80.92,68,32,5.75,PF,1650839518
98,George,-33.963,22.4617,53.15,100,75,8.05,ZA,1650839518
99,Lere,10.387,8.5726,80.65,56,93,8.37,NG,1650839518
100,Vanavara,60.34,102.2797,23.56,87,77,3.06,RU,1650839519
101,Homer,59.6425,-151.5483,50.04,76,75,9.22,US,1650839519
102,Nantucket,41.2835,-70.0995,48.34,56,100,8.05,US,1650839319
103,Sørland,67.667,12.6934,41.63,78,100,13.56,NO,1650839520
104,Avarua,-21.2078,-159.775,82.45,78,20,6.91,CK,1650839520
105,Lüderitz,-26.6481,15.1594,55.54,64,0,18.66,NA,1650839520
106,Upata,8.0086,-62.3989,80.92,60,91,4.94,VE,1650839521
107,Xining,36.6167,101.7667,47.64,57,80,3.69,CN,1650839521
108,Pabradė,55.0,25.7833,44.19,92,100,4.56,LT,1650839521
109,Sant Feliu de Guíxols,41.7833,3.0333,59.14,48,21,5.23,ES,1650839522
110,Ambikāpur,23.1167,83.2,74.89,21,16,3.58,IN,1650839522
111,Gambo,4.6482,22.2633,70.65,95,98,2.8,CF,1650839523
112,Souillac,-20.5167,57.5167,75.58,73,40,14.97,MU,1650839524
113,Zarubino,42.63,131.0922,50.22,56,18,6.42,RU,1650839524
114,Imbituba,-28.24,-48.6703,67.73,86,0,12.95,BR,1650839285
115,Callaguip,18.0714,120.4867,77.02,88,20,3.44,PH,1650839525
116,Fairbanks,64.8378,-147.7164,48.54,45,0,5.75,US,1650839298
117,Chingirlau,51.095,54.0814,49.26,66,5,6.62,KZ,1650839526
118,Crowley,30.2141,-92.3746,84.38,76,35,13.91,US,1650839526
119,George Town,5.4112,100.3354,80.53,100,20,2.3,MY,1650839415
120,Qaanaaq,77.484,-69.3632,3.36,71,82,5.64,GL,1650839527
121,Goderich,43.7501,-81.7165,56.08,89,91,20.27,CA,1650839527
122,Mossamedes,-15.1961,12.1522,71.56,75,18,3.83,AO,1650839528
123,Dawei,14.0833,98.2,77.22,88,13,2.1,MM,1650839528
124,Tilichiki,60.4667,166.1,26.78,79,100,13.96,RU,1650839529
125,Chicama,-7.8447,-79.1469,61.34,74,39,8.28,PE,1650839529
126,Fort Nelson,58.8053,-122.7002,51.39,40,75,8.05,CA,1650839416
127,Harstad,68.799,16.5293,40.39,100,100,8.99,NO,1650839530
128,Wonthaggi,-38.6044,145.5913,50.83,84,72,5.64,AU,1650839530
129,Mount Gambier,-37.8333,140.7667,40.91,100,100,0.0,AU,1650839531
130,Narsaq,60.9167,-46.05,44.82,88,100,3.15,GL,1650839531
131,Chabahar,25.2919,60.643,79.84,84,1,1.83,IR,1650839531
132,Cilegon,-6.0174,106.0538,78.28,84,89,5.01,ID,1650839532
133,Hobyo,5.3505,48.5268,83.03,71,2,11.21,SO,1650839532
134,San Andrés,12.5847,-81.7006,78.82,83,100,6.91,CO,1650839533
135,Bethel,41.3712,-73.414,59.36,56,0,10.36,US,1650839533
136,Portales,34.1862,-103.3344,72.34,22,22,6.38,US,1650839384
137,Gamba,-2.65,10.0,77.41,92,100,1.34,GA,1650839534
138,Arroio Grande,-32.2375,-53.0869,62.01,63,0,9.37,BR,1650839534
139,Birnin Kebbi,12.4539,4.1975,91.27,22,74,9.01,NG,1650839535
140,Arrondissement de Fontenay-le-Comte,46.5833,-1.0,55.04,99,35,6.67,FR,1650839535
141,Raudeberg,61.9875,5.1352,43.86,89,27,19.17,NO,1650839536
142,Coroatá,-4.13,-44.1242,73.51,96,41,0.69,BR,1650839536
143,Samarai,-10.6167,150.6667,83.68,73,100,14.14,PG,1650839537
144,Santa Vitória do Palmar,-33.5189,-53.3681,64.0,62,3,11.88,BR,1650839537
145,Ilulissat,69.2167,-51.1,28.42,86,100,0.0,GL,1650839538
146,Acapulco de Juárez,16.8634,-99.8901,85.82,66,40,9.22,MX,1650839538
147,Carnarvon,-24.8667,113.6333,62.67,100,22,6.91,AU,1650839538
148,Plettenberg Bay,-34.0527,23.3716,54.99,72,0,8.43,ZA,1650839539
149,Longyearbyen,78.2186,15.6401,4.84,72,40,12.66,SJ,1650839539
150,Husavik,66.0449,-17.3389,42.55,84,100,0.72,IS,1650839539
151,Cape Town,-33.9258,18.4232,58.12,83,40,9.22,ZA,1650839506
152,Cockburn Town,21.4612,-71.1419,78.76,65,75,13.8,TC,1650839540
153,Yangjiang,21.85,111.9667,77.07,93,29,6.29,CN,1650839540
154,Urukh,43.2933,44.0265,49.55,75,17,3.51,RU,1650839540
155,Champerico,14.3,-91.9167,91.94,64,4,9.78,GT,1650839541
156,Talnakh,69.4865,88.3972,-5.49,99,91,4.38,RU,1650839446
157,Tiksi,71.6872,128.8694,2.46,98,99,1.79,RU,1650839541
158,Manta,-0.95,-80.7333,82.18,78,40,11.5,EC,1650839340
159,Tandil,-37.3217,-59.1332,65.68,38,67,14.2,AR,1650839541
160,Cidreira,-30.1811,-50.2056,69.04,84,1,19.84,BR,1650839542
161,Palmer,42.1584,-72.3287,58.6,37,75,1.99,US,1650839542
162,La Reforma,25.0833,-108.05,80.26,46,0,13.2,MX,1650839542
163,Biak,-0.9131,122.8766,78.76,81,31,0.47,ID,1650839543
164,Krasnosel'kup,65.7,82.4667,-6.14,100,92,2.91,RU,1650839543
165,Havre-St-Pierre,50.2334,-63.5986,46.76,46,0,16.11,CA,1650839544
166,Butaritari,3.0707,172.7902,81.34,76,100,10.42,KI,1650839544
167,Superior,46.7208,-92.1041,47.37,75,100,17.27,US,1650839544
168,Jati,24.3539,68.2671,79.75,71,0,15.97,PK,1650839544
169,Boguchany,58.3814,97.4531,23.23,97,85,4.61,RU,1650839545
170,Tyulyachi,55.8913,50.2399,48.15,80,95,7.43,RU,1650839545
171,Kismayo,-0.3582,42.5454,82.27,77,57,10.56,SO,1650839545
172,Hithadhoo,-0.6,73.0833,84.25,72,63,8.81,MV,1650839528
173,Saint Anthony,45.0205,-93.218,47.93,69,100,26.46,US,1650839546
174,Hilo,19.7297,-155.09,79.25,76,75,10.36,US,1650839325
175,Saskylakh,71.9167,114.0833,0.7,100,96,1.5,RU,1650839546
176,Koulikoro,14.0,-7.75,86.07,13,85,10.47,ML,1650839546
177,Erice,38.037,12.5865,48.67,82,0,4.61,IT,1650839547
178,Lagoa,39.05,-27.9833,57.81,74,2,19.08,PT,1650839547
179,Vardø,70.3705,31.1107,35.51,86,100,7.94,NO,1650839547
180,Baijiantan,45.6333,85.1833,46.45,32,87,13.38,CN,1650839547
181,Chokurdakh,70.6333,147.9167,4.14,93,77,2.89,RU,1650839548
182,Jeannette,40.3281,-79.6153,84.72,33,0,9.22,US,1650839502
183,Dryden,49.7833,-92.7503,37.69,93,100,4.61,CA,1650839415
184,Bambous Virieux,-20.3428,57.7575,75.45,73,40,14.97,MU,1650839548
185,Arraial do Cabo,-22.9661,-42.0278,76.86,73,0,6.91,BR,1650839548
186,Freeport,40.6576,-73.5832,56.97,53,0,17.27,US,1650839472
187,Sukhobezvodnoye,57.0491,44.8891,45.99,71,100,4.23,RU,1650839549
188,Nur-Sultan,51.1801,71.446,28.35,64,0,13.42,KZ,1650839549
189,Beringovskiy,63.05,179.3167,27.46,80,99,5.46,RU,1650839549
190,Ballitoville,-29.539,31.2144,66.24,86,100,11.43,ZA,1650839550
191,Serenje,-13.2325,30.2352,59.38,95,57,3.89,ZM,1650839550
192,Constitución,-35.3333,-72.4167,54.3,93,100,9.98,CL,1650839456
193,Ouadda,8.0777,22.4007,72.7,75,88,3.76,CF,1650839550
194,Mar del Plata,-38.0023,-57.5575,73.94,65,0,8.99,AR,1650839551
195,Okhotsk,59.3833,143.3,28.56,84,68,10.85,RU,1650839535
196,Chuguyevka,44.1653,133.8633,53.37,38,80,3.69,RU,1650839551
197,Deputatsky,69.3,139.9,8.74,93,100,3.02,RU,1650839551
198,Mitsamiouli,-11.3847,43.2844,80.85,83,100,10.74,KM,1650839552
199,Arman',59.7,150.1667,27.37,69,42,9.69,RU,1650839277
200,Bairiki Village,1.3292,172.9752,84.2,84,40,14.97,KI,1650839552
201,Nouakchott,18.0858,-15.9785,71.53,59,0,15.95,MR,1650839359
202,Dikson,73.5069,80.5464,6.76,94,96,13.98,RU,1650839552
203,Great Yarmouth,52.6083,1.7305,46.65,86,2,15.01,GB,1650839553
204,Yangi Marg`ilon,40.4272,71.7189,57.92,88,54,11.5,UZ,1650839553
205,Buala,-8.145,159.5921,83.8,74,93,6.71,SB,1650839553
206,Bertoua,4.5833,13.6833,68.74,95,100,2.64,CM,1650839553
207,Alice Springs,-23.7,133.8833,60.35,100,100,6.91,AU,1650839554
208,Klaksvík,62.2266,-6.589,40.12,83,100,16.33,FO,1650839554
209,Lebu,-37.6167,-73.65,52.0,77,69,9.1,CL,1650839554
210,Meulaboh,4.1363,96.1285,77.47,89,60,3.67,ID,1650839555
211,Cavnic,47.6667,23.8667,47.39,97,100,4.83,RO,1650839555
212,Daund,18.4667,74.6,83.84,38,11,7.25,IN,1650839555
213,Makakilo City,21.3469,-158.0858,80.92,53,75,14.97,US,1650839555
214,Cayenne,4.9333,-52.3333,81.09,1,0,5.99,GF,1650839408
215,Blanes,41.6742,2.7904,59.13,77,30,6.38,ES,1650839556
216,Cape Canaveral,28.4058,-80.6048,80.02,72,20,12.66,US,1650839556
217,Uvira,-3.4067,29.1458,72.45,84,91,0.49,CD,1650839556
218,Camacha,33.0833,-16.3333,60.22,82,75,11.5,PT,1650839557
219,Korla,41.7597,86.1469,64.11,30,46,15.21,CN,1650839557
220,Atar,20.5169,-13.0499,79.86,28,1,8.21,MR,1650839557
221,Alexandria,31.2156,29.9553,66.16,77,40,8.05,EG,1650839289
222,Dingle,10.9995,122.6711,79.59,86,87,7.47,PH,1650839558
223,Limulunga,-15.0969,23.1376,69.57,68,88,4.23,ZM,1650839558
224,Marabu,4.4148,114.0089,75.34,94,40,9.22,MY,1650839558
225,Kaitangata,-46.2817,169.8464,55.63,78,94,15.59,NZ,1650839559
226,Ocós,14.5094,-92.1933,89.78,63,1,8.57,GT,1650839559
227,Āstāneh-ye Ashrafīyeh,37.2596,49.9444,57.13,80,100,0.65,IR,1650839559
228,Kahului,20.8947,-156.47,84.22,62,40,21.85,US,1650839559
229,Codrington,-38.2667,141.9667,55.27,72,89,6.58,AU,1650839560
230,Abbeville,50.1,1.8333,49.5,90,57,7.83,FR,1650839560
231,Westport,41.1415,-73.3579,57.56,56,0,11.5,US,1650839282
232,Svarstad,59.399,9.9698,43.0,60,30,3.67,NO,1650839471
233,Saquarema,-22.92,-42.5103,77.04,80,74,8.3,BR,1650839560
234,Khandyga,62.6667,135.6,26.08,83,93,0.94,RU,1650839561
235,Namatanai,-3.6667,152.4333,83.77,64,72,3.47,PG,1650839561
236,Port Blair,11.6667,92.75,81.41,71,18,3.02,IN,1650839561
237,Laredo,27.5064,-99.5075,95.29,41,0,23.02,US,1650839561
238,Obihiro,42.9172,143.2044,57.79,36,69,13.15,JP,1650839562
239,Broken Hill,-31.95,141.4333,60.51,72,77,8.05,AU,1650839405
240,Florianópolis,-27.6146,-48.5012,70.7,79,40,4.61,BR,1650839562
241,Baykit,61.67,96.37,29.82,94,99,3.71,RU,1650839562
242,Kallithea,37.95,23.7,66.69,63,20,2.3,GR,1650839563
243,Chumikan,54.7183,135.315,28.92,85,100,9.24,RU,1650839563
244,College,64.8569,-147.8028,48.52,46,75,5.75,US,1650839413
245,La Ronge,55.1001,-105.2842,41.22,41,20,10.36,CA,1650839563
246,Santiago del Estero,-27.7951,-64.2615,76.1,67,80,7.43,AR,1650839564
247,Alofi,-19.0595,-169.9187,75.09,94,99,5.75,NU,1650839564
248,Mahébourg,-20.4081,57.7,75.49,73,40,14.97,MU,1650839564
249,Mae Sot,16.7167,98.5667,73.83,90,60,1.36,TH,1650839564
250,Vanimo,-2.6741,141.3028,79.72,87,86,4.97,PG,1650839565
251,Richards Bay,-28.783,32.0377,69.12,90,100,7.78,ZA,1650839565
252,Takoradze,4.8845,-1.7554,80.13,85,100,4.34,GH,1650839565
253,Chapais,49.7834,-74.8492,40.78,76,100,12.75,CA,1650839565
254,Bārmer,25.75,71.3833,78.28,43,1,8.81,IN,1650839487
255,Ishigaki,24.3448,124.1572,78.93,100,20,9.22,JP,1650839566
256,Visby,57.6409,18.296,39.42,81,98,13.8,SE,1650839566
257,Puerto Carreño,6.189,-67.4859,85.98,70,40,5.75,CO,1650839566
258,Tairua,-37.0167,175.85,65.26,62,68,6.22,NZ,1650839567
259,Tashara,55.5195,83.5094,31.01,80,100,7.83,RU,1650839567
260,Harindānga,22.0383,88.3214,81.3,89,8,11.01,IN,1650839567
261,Paamiut,61.994,-49.6678,31.08,93,100,10.98,GL,1650839568
262,Vuktyl,63.8567,57.3094,31.78,93,99,3.76,RU,1650839568
263,Pechory,57.8164,27.6119,40.46,99,83,3.33,RU,1650839568
264,Iqaluit,63.7506,-68.5145,22.73,79,100,12.66,CA,1650839568
265,Berlevåg,70.8578,29.0864,35.4,77,100,9.95,NO,1650839569
266,Kiryat Gat,31.61,34.7642,65.08,100,80,3.69,IL,1650839569
267,Torbay,47.6666,-52.7314,36.28,96,100,10.36,CA,1650839408
268,Xinqing,48.2333,129.5,45.84,58,80,8.57,CN,1650839569
269,Touros,-5.1989,-35.4608,77.11,88,97,10.33,BR,1650839461
270,Kondinskoye,59.6481,67.41,29.14,93,42,5.14,RU,1650839570
271,Katsuura,35.1333,140.3,62.62,80,74,0.89,JP,1650839534
272,Elk City,35.412,-99.4043,71.82,23,0,16.11,US,1650839570
273,Lashio,22.9333,97.75,65.82,66,0,1.41,MM,1650839570
274,East London,-33.0153,27.9116,62.15,71,88,13.09,ZA,1650839571
275,Port Hardy,50.6996,-127.4199,48.38,87,75,18.41,CA,1650839416
276,Nome,64.5011,-165.4064,39.16,87,100,5.75,US,1650839324
277,Marawi,7.9986,124.2928,72.12,88,81,1.28,PH,1650839571
278,Soavinandriana,-19.1667,46.7333,57.24,83,100,6.98,MG,1650839572
279,Lumby,50.2498,-118.969,70.56,24,76,4.61,CA,1650839376
280,Trelew,-43.249,-65.3051,56.79,36,68,29.8,AR,1650839572
281,Canchungo,12.0672,-16.0333,80.73,68,32,6.58,GW,1650839572
282,Nanortalik,60.1432,-45.2371,36.72,93,99,1.28,GL,1650839572
283,Pak Chong,14.708,101.4161,75.85,81,10,3.74,TH,1650839573
284,Hasaki,35.7333,140.8333,61.29,78,62,2.73,JP,1650839573
285,Portland,45.5234,-122.6762,72.3,38,20,5.99,US,1650839202
286,Le Port,-20.9373,55.2919,73.4,73,81,5.35,RE,1650839573
287,Luganville,-15.5333,167.1667,80.89,81,100,4.45,VU,1650839574
288,Leshukonskoye,64.8989,45.7622,31.82,93,100,3.85,RU,1650839574
289,The Valley,18.217,-63.0578,80.46,65,20,11.5,AI,1650839574
290,Cehegín,38.0924,-1.7985,55.36,62,85,0.85,ES,1650839575
291,Bongandanga,1.5,21.05,73.94,83,71,2.93,CD,1650839575
292,Fria,10.4167,-13.5833,78.22,80,47,3.8,GN,1650839575
293,San Jerónimo,-11.9472,-75.2829,53.29,72,87,7.4,PE,1650839575
294,Atikokan,48.7555,-91.6216,38.62,98,100,4.63,CA,1650839576
295,Quelimane,-17.8786,36.8883,76.95,88,40,6.91,MZ,1650839576
296,Taoudenni,22.6783,-3.9836,80.76,23,0,12.46,ML,1650839576
297,Agalatovo,60.2195,30.2739,44.11,96,100,10.0,RU,1650839576
298,Hammerfest,70.6634,23.6821,34.25,86,75,8.05,NO,1650839577
299,Port Augusta,-32.5,137.7667,68.47,56,100,11.59,AU,1650839577
300,Maragogi,-9.0122,-35.2225,78.6,82,100,10.58,BR,1650839577
301,Rodolfo Sánchez Taboada,31.7167,-116.5667,71.1,55,0,7.0,MX,1650839578
302,Segovia,41.1667,-4.0,46.44,77,70,4.7,ES,1650839578
303,Wankyi,7.7392,-2.1046,73.89,88,91,6.8,GH,1650839578
304,Cherskiy,68.75,161.3,17.62,86,97,5.75,RU,1650839579
305,Linjiang,41.8069,126.9078,56.97,56,45,2.86,CN,1650839579
306,‘Ewa Beach,21.3156,-158.0072,82.35,52,40,15.01,US,1650839579
307,Lahaina,20.8783,-156.6825,84.2,80,6,10.71,US,1650839333
308,Noumea,-22.2763,166.4572,75.0,99,100,16.78,NC,1650839579
309,Arrondissement d'Ajaccio,42.0,8.9167,53.58,82,100,8.05,FR,1650839580
310,Praia,14.9215,-23.5087,75.74,53,0,11.5,CV,1650839580
311,New Castle,41.0037,-80.347,85.28,34,0,6.91,US,1650839525
312,Kita,13.0349,-9.4895,92.64,11,34,10.98,ML,1650839580
313,Lavrentiya,65.5833,-171.0,26.92,77,53,4.45,RU,1650839581
314,Omsukchan,62.5333,155.8,22.5,90,100,5.5,RU,1650839581
315,La Macarena,2.1837,-73.7849,73.15,96,100,2.51,CO,1650839581
316,Koz'modem'yansk,56.3367,46.5711,47.52,63,100,4.47,RU,1650839582
317,Havelock,34.8791,-76.9013,77.99,74,0,13.8,US,1650839582
318,Itarema,-2.9248,-39.9167,76.57,89,94,7.56,BR,1650839582
319,Cabo San Lucas,22.8909,-109.9124,82.62,60,0,9.22,MX,1650839444
320,Marystown,47.1666,-55.1483,38.86,100,100,1.99,CA,1650839583
321,Nuuk,64.1835,-51.7216,30.81,100,100,8.05,GL,1650839583
322,Russell,32.3502,-85.1999,81.97,47,0,0.0,US,1650839583
323,Pūranpur,28.5167,80.15,75.02,20,1,6.2,IN,1650839584
324,Vila Velha,-20.3297,-40.2925,78.75,86,20,10.36,BR,1650839585
325,Dhemāji,27.4833,94.5833,66.45,89,8,4.21,IN,1650839586
326,Kropotkin,45.4375,40.5756,52.9,73,31,6.73,RU,1650839586
327,Boshnyakovo,49.6333,142.1667,29.88,87,74,14.36,RU,1650839586
328,Geraldton,-28.7667,114.6,64.81,45,84,14.97,AU,1650839587
329,Domoni,-12.2569,44.5319,79.2,88,96,5.84,KM,1650839587
330,Clyde River,70.4692,-68.5914,7.03,85,100,4.61,CA,1650839587
331,Pesochnoye,58.006,39.1772,47.32,92,100,8.03,RU,1650839587
332,North Bend,43.4065,-124.2243,68.23,78,0,10.36,US,1650839415
333,North Platte,41.1239,-100.7654,55.38,41,100,26.46,US,1650839588
334,Coquimbo,-29.9533,-71.3436,58.73,88,75,6.91,CL,1650839588
335,Lata,40.1629,-8.3327,53.08,95,76,1.14,PT,1650839588
336,Umluj,25.0213,37.2685,76.86,50,0,6.64,SA,1650839589
337,Heiligenhafen,54.3667,10.9833,43.05,78,82,19.26,DE,1650839373
338,São José da Coroa Grande,-8.8978,-35.1478,78.87,82,100,10.94,BR,1650839589
339,Ayr,55.4627,-4.6339,47.93,76,40,4.61,GB,1650839590
340,Nador,35.174,-2.9287,59.25,82,0,0.0,MA,1650839590
341,Cabuyaro,4.2817,-72.794,76.69,87,100,6.44,CO,1650839591
342,Pryazha,61.6926,33.6216,27.63,93,29,6.17,RU,1650839591
343,Mandurah,-32.55,115.7,67.91,53,74,16.96,AU,1650839350
344,Emerald,-23.5333,148.1667,66.34,77,100,16.11,AU,1650839592
345,Ponta do Sol,32.6667,-17.1,66.0,87,95,7.99,PT,1650839444
346,Sur,22.5667,59.5289,84.94,41,0,9.37,OM,1650839593
347,Noshiro,40.2039,140.0242,58.21,73,44,4.0,JP,1650839593
348,Sitka,57.0531,-135.33,48.09,71,100,8.05,US,1650839593
349,Zhigalovo,54.8097,105.1578,23.58,80,84,2.33,RU,1650839594
350,Banjar,-8.19,114.9675,76.46,87,24,3.33,ID,1650839595
351,Madimba,-10.4,40.3333,77.34,88,100,2.15,TZ,1650839595
352,Sobolevo,54.4299,31.8996,45.88,86,87,8.32,RU,1650839595
353,Great Bend,38.3645,-98.7648,72.84,27,0,13.8,US,1650839412
354,Malanje,-9.5402,16.341,63.57,85,88,2.39,AO,1650839596
355,Gazojak,41.1875,61.4036,59.95,41,0,8.84,TM,1650839597
356,Seoni Mālwa,22.45,77.4667,84.72,20,0,4.85,IN,1650839597
357,‘Āhuimanu,21.4447,-157.8378,82.11,61,20,14.97,US,1650839597
358,Zhigansk,66.7697,123.3711,10.63,95,82,6.8,RU,1650839598
